sku_id,product_name,brand,category,hs_code,ingredients,batch_id,manufacture_date,expiry_date,total_shelf_life_days,qty_on_hand,unit_cost_usd,halal_certified,country_of_origin
SKU031,Iodine 225mcg 180 Capsules,Biotics Research,Minerals,2106.9,"Potassium Iodide, Kelp Powder, Cellulose, Stearic Acid",B26-031,2026-01-17,2028-01-17,730,145,14.49,yes,USA
SKU032,Chromium Picolinate 200mcg 100 Capsules,NOW Foods,Minerals,2106.9,"Chromium Picolinate, Cellulose, Magnesium Stearate",B26-032,2026-01-27,2028-01-27,730,310,7.99,yes,USA
SKU033,Iron Bisglycinate 25mg 90 Capsules,Thorne Research,Minerals,2106.9,"Iron Bisglycinate Chelate, Hypromellose, Magnesium Citrate",B26-033,2026-02-06,2028-02-06,730,165,14.99,yes,USA
SKU034,Manganese 10mg 250 Capsules,NOW Foods,Minerals,2106.9,"Manganese Glycinate Chelate, Cellulose, Magnesium Stearate",B26-034,2026-02-16,2028-02-16,730,145,9.99,yes,USA
SKU035,Digestive Enzymes 90 Capsules,NOW Foods,Digestive,2106.9,"Amylase, Protease, Lipase, Lactase, Cellulase, Bromelain, Papain, Cellulose",B26-035,2026-01-12,2027-07-14,548,145,17.99,yes,USA
SKU036,Milk Thistle 300mg 100 Capsules,NOW Foods,Herbal,1302.19,"Milk Thistle Extract 80% Silymarin, Cellulose, Magnesium Stearate",B26-036,2026-01-22,2027-07-24,548,210,11.49,yes,Europe
SKU037,Reishi Mushroom 500mg 100 Capsules,NOW Foods,Immunity,1302.19,"Reishi Mushroom Extract Ganoderma lucidum, Cellulose, Magnesium Stearate",B26-037,2026-02-01,2027-08-03,548,185,17.49,yes,China
SKU038,Saw Palmetto 320mg 60 Capsules,NOW Foods,Herbal,1302.19,"Saw Palmetto Berry Powder, Cellulose, Magnesium Stearate",B26-038,2025-06-03,2027-06-03,730,155,16.99,yes,USA
SKU039,Valerian Root 500mg 100 Capsules,Natures Way,Herbal,1211.9,"Valerian Root Powder, Cellulose, Magnesium Stearate",B26-039,2025-06-23,2027-06-23,730,130,8.99,yes,Europe
SKU040,Echinacea 400mg 100 Capsules,Natures Way,Immunity,1211.9,"Echinacea purpurea Aerial Parts Powder, Cellulose, Magnesium Stearate",B26-040,2025-07-13,2027-07-13,730,200,9.99,yes,USA
SKU041,Elderberry 1000mg 60 Capsules,Natures Answer,Immunity,1302.19,"Black Elderberry Extract Sambucus nigra, Cellulose, Magnesium Stearate",B26-041,2025-08-02,2027-08-02,730,175,16.99,yes,USA
SKU042,Lemon Balm 500mg 100 Capsules,NOW Foods,Mood,1211.9,"Lemon Balm Leaf Powder Melissa officinalis, Cellulose, Magnesium Stearate",B26-042,2025-08-22,2027-08-22,730,155,9.99,yes,Europe
SKU043,Passionflower 350mg 90 Capsules,NOW Foods,Mood,1211.9,"Passionflower Aerial Parts Passiflora incarnata, Cellulose, Magnesium Stearate",B26-043,2025-09-11,2027-09-11,730,135,9.49,yes,Europe
SKU044,St Johns Wort 300mg 100 Tablets,Natures Sunshine,Mood,1302.19,"Hypericum perforatum Extract 0.3% Hypericin, Cellulose, Stearic Acid",B26-044,2025-10-01,2027-10-01,730,120,10.49,yes,Germany
SKU045,Bacopa Monnieri 320mg 60 Capsules,Jarrow Formulas,Cognitive,1302.19,"Bacopa monnieri Leaf Extract 20% Bacosides, Cellulose, Magnesium Stearate",B26-045,2025-10-21,2027-10-21,730,125,18.49,yes,India
SKU046,Saffron Extract 88.5mg 60 Capsules,Life Extension,Mood,1302.19,"Affron Saffron Extract Crocus sativus, Cellulose, Magnesium Stearate",B26-046,2025-11-05,2027-11-05,730,85,21.99,yes,Spain
SKU047,Chlorella Powder 200g,Sun Chlorella,Superfoods,2106.9,Chlorella Broken Cell Wall Powder,B26-047,2025-08-24,2027-02-23,548,92,24.99,yes,Japan
SKU048,Green Tea Extract 400mg 100 Capsules,NOW Foods,Antioxidants,2106.9,"Green Tea Extract 50% EGCG Camellia sinensis, Cellulose, Magnesium Stearate",B26-048,2025-09-23,2027-03-25,548,165,14.49,yes,China
SKU049,Ginger Root 550mg 100 Capsules,NOW Foods,Digestive,1211.9,"Ginger Root Powder Zingiber officinale, Cellulose, Magnesium Stearate",B26-049,2025-10-23,2027-04-24,548,190,7.99,yes,India
SKU050,Cinnamon Bark 600mg 120 Capsules,NOW Foods,Metabolic,1302.19,"Ceylon Cinnamon Bark Powder Cinnamomum verum, Cellulose, Magnesium Stearate",B26-050,2025-11-22,2027-05-24,548,165,8.49,yes,Sri Lanka
SKU051,Fenugreek 610mg 100 Capsules,NOW Foods,Herbal,1211.9,"Fenugreek Seed Powder Trigonella foenum-graecum, Cellulose, Magnesium Stearate",B26-051,2025-12-22,2027-06-23,548,145,7.49,yes,India
SKU052,Ginkgo Biloba 60mg 60 Tablets,Solgar,Herbal,1302.19,"Ginkgo Biloba Leaf Extract 24% Flavone Glycosides, Cellulose, Stearic Acid",B26-052,2025-12-30,2027-07-01,548,130,19.99,yes,China
SKU053,Vitamin A 10000IU 100 Capsules,NOW Foods,Vitamins,2936.21,"Vitamin A Palmitate, Cellulose, Magnesium Stearate",B26-053,2025-05-04,2027-05-04,730,195,8.49,yes,USA
SKU054,Biotin 5000mcg 60 Capsules,NOW Foods,Beauty,2936.29,"Biotin, Cellulose, Magnesium Stearate",B26-054,2025-03-15,2027-03-15,730,285,9.49,yes,USA
SKU055,Pre-Workout Energy Powder 300g,Legion Athletics,Sports,2106.9,"Citrulline Malate, Beta-Alanine, Caffeine Anhydrous 350mg, L-Theanine, Alpha-GPC, Natural Flavors",B26-055,2024-12-05,2026-12-05,730,65,44.99,yes,USA
SKU056,Protein Bar Variety 12-Pack,Quest Nutrition,Protein,2106.9,"Whey Protein Isolate, Milk Protein Isolate, Almonds, Erythritol, Natural Flavors, Sunflower Lecithin",B26-056,2025-07-25,2027-01-24,548,200,24.99,yes,USA
SKU057,Probiotic 30 Billion 60 Capsules,Jarrow Formulas,Probiotics,2106.9,"Lactobacillus acidophilus, Bifidobacterium lactis, L. rhamnosus, L. gasseri, Cellulose, Maltodextrin",B26-057,2025-08-27,2026-08-27,365,95,22.99,yes,USA
SKU058,NAD+ Nicotinamide Riboside 300mg 60 Caps,Tru Niagen,Antioxidants,2106.9,"Nicotinamide Riboside Chloride, Cellulose, Magnesium Stearate",B26-058,2025-04-16,2026-10-16,548,80,44.99,yes,USA
SKU059,Acetyl L-Carnitine 500mg 100 Capsules,Jarrow Formulas,Cognitive,2922.41,"Acetyl L-Carnitine HCl, Cellulose, Magnesium Stearate",B26-059,2025-07-08,2026-07-08,365,185,14.99,yes,Italy
SKU060,Magnesium Citrate 250mg (old batch),NOW Foods,Minerals,2106.9,"Magnesium Citrate, Cellulose, Magnesium Stearate",B26-060,2025-05-04,2026-05-04,365,310,12.49,yes,USA
SKU061,CBD Oil 1000mg 30ml,Charlottes Web,CBD,2934.99,"Hemp Extract Aerial Parts, Fractionated Coconut Oil, Natural Flavor, Cannabidiol CBD",B26-061,2026-01-09,2028-01-09,730,60,59.99,yes,USA
SKU062,CBD Gummies 25mg 30 Count,Green Roads,CBD,2934.99,"Hemp-Derived CBD Cannabidiol, Glucose Syrup, Sugar, Pectin, Citric Acid, Natural Flavors",B26-062,2025-12-20,2027-12-20,730,45,34.99,yes,USA
SKU063,DMAA Pre-Workout 300g,Jack3d,Pre-workout,2106.9,"Caffeine Anhydrous, 1,3-Dimethylamylamine DMAA, Beta-Alanine, Creatine Monohydrate, Citric Acid",B26-063,2026-04-19,2028-04-18,730,30,29.99,no,USA
SKU064,Ephedra Extract 12.5mg 100 Tablets,Generic Brand,Weight,1302.19,"Ephedra sinica Extract 8% Ephedrine Alkaloids, Caffeine Anhydrous, Guarana Seed Extract, Cellulose",B26-064,2026-02-28,2028-02-28,730,25,19.99,no,China
SKU065,Kava Root Extract 250mg 60 Capsules,NOW Foods,Herbal,1302.19,"Kava Root Extract Piper methysticum 30% Kavalactones, Cellulose, Magnesium Stearate",B26-065,2026-03-30,2028-03-29,730,80,14.99,yes,Pacific Islands
SKU066,Yohimbe Bark 500mg 90 Capsules,NOW Foods,Herbal,1302.19,"Yohimbe Bark Extract standardized to 8% Yohimbine, Gelatin, Magnesium Stearate",B26-066,2026-03-10,2028-03-09,730,95,12.99,no,Africa
SKU067,5-HTP 100mg 60 Capsules,NOW Foods,Mood,2934.99,"5-Hydroxytryptophan 5-HTP from Griffonia simplicifolia, Cellulose, Magnesium Stearate",B26-067,2026-02-18,2028-02-18,730,145,12.99,yes,Africa
SKU068,Bitter Orange Synephrine 300mg 60 Capsules,NOW Foods,Weight,1302.19,"Bitter Orange Extract Citrus aurantium standardized to 6% Synephrine, Cellulose, Magnesium Stearate",B26-068,2026-01-29,2028-01-29,730,110,12.49,yes,China
SKU069,Melatonin 3mg 120 Tablets,Natrol,Sleep,2934.99,"Melatonin, Dicalcium Phosphate, Cellulose, Stearic Acid, Silica",B26-069,2026-04-19,2028-04-18,730,450,8.49,yes,USA
SKU070,Melatonin 5mg 60 Tablets,NOW Foods,Sleep,2934.99,"Melatonin, Cellulose, Stearic Acid, Silica, Magnesium Stearate",B26-070,2026-03-30,2028-03-29,730,380,7.99,yes,USA
SKU071,Melatonin 10mg Extended Release 60 Capsules,Life Extension,Sleep,2934.99,"Melatonin, Cellulose, Vegetable Stearate, Silica",B26-071,2026-03-10,2028-03-09,730,280,9.49,yes,USA
SKU072,Omega-3 Fish Oil 1000mg 100 Softgels,Nordic Naturals,Omega,1504.2,"Fish Oil Concentrate from Anchovies and Sardines, Gelatin, Glycerin, Water, Natural Lemon Flavor",B26-072,2026-04-19,2028-04-18,730,150,12.49,no,Norway
SKU073,Omega-3 Fish Oil 2000mg 60 Softgels,Carlson Labs,Omega,1504.2,"Norwegian Fish Oil, Gelatin, Glycerin, Purified Water, Natural Lemon Oil",B26-073,2026-03-30,2028-03-29,730,200,19.99,no,Norway
SKU074,Collagen Peptides Powder 284g,Vital Proteins,Beauty,3504.0,"Bovine Hide Collagen Peptides from grass-fed cows, Vitamin C",B26-074,2026-03-10,2028-03-09,730,175,24.99,no,USA
SKU075,Marine Collagen 120 Capsules,NeoCell,Beauty,3504.0,"Marine Collagen Peptides from Fish, Vitamin C, Hyaluronic Acid, Gelatin",B26-075,2026-02-18,2028-02-18,730,130,21.99,no,USA
SKU076,Hydrolyzed Collagen Type I and III 450g,Great Lakes Wellness,Beauty,3504.0,"Hydrolyzed Bovine Collagen Peptides, Natural Flavor",B26-076,2026-01-29,2028-01-29,730,88,24.99,no,USA
SKU077,Whey Protein Isolate Vanilla 2lb,Optimum Nutrition,Protein,2106.1,"Whey Protein Isolate, Natural Vanilla Flavor, Sunflower Lecithin, Sucralose",B26-077,2026-01-09,2028-01-09,730,88,34.99,no,USA
SKU078,Whey Protein Chocolate 5lb,Optimum Nutrition,Protein,2106.1,"Whey Protein Concentrate, Cocoa Powder, Natural Flavors, Sunflower Lecithin, Sucralose",B26-078,2025-12-20,2027-12-20,730,42,54.99,no,USA
SKU079,Casein Protein Chocolate 2lb,Optimum Nutrition,Protein,2106.1,"Micellar Casein, Cocoa, Natural Flavors, Sucralose, Acesulfame Potassium",B26-079,2025-11-30,2027-11-30,730,72,34.99,no,USA
SKU080,Glucosamine Sulfate 1000mg 120 Tablets,Doctors Best,Joint Health,2106.9,"Glucosamine Sulfate 2KCl from Shellfish, Cellulose, Vegetable Stearate",B26-080,2026-04-19,2028-04-18,730,190,19.99,no,USA
SKU081,Chondroitin Sulfate 400mg 90 Capsules,NOW Foods,Joint Health,2106.9,"Chondroitin Sulfate from Bovine Trachea, Cellulose, Magnesium Stearate",B26-081,2026-03-30,2028-03-29,730,165,24.99,no,USA
SKU082,Vitamin D3 5000IU 240 Softgels,NOW Foods,Vitamins,2936.29,"Vitamin D3 Cholecalciferol, Soybean Oil, Gelatin, Glycerin, Water",B26-082,2026-03-10,2028-03-09,730,240,14.99,no,USA
SKU083,Vitamin E 400IU 100 Softgels,NOW Foods,Vitamins,2936.28,"d-Alpha Tocopherol, Soybean Oil, Gelatin, Glycerin, Water",B26-083,2026-02-18,2028-02-18,730,280,11.99,no,USA
SKU084,Astaxanthin 4mg 60 Softgels,NOW Foods,Antioxidants,2106.9,"AstaREAL Astaxanthin from Haematococcus pluvialis, Olive Oil, Gelatin, Glycerin, Water",B26-084,2026-01-29,2028-01-29,730,155,19.99,no,Japan
SKU085,Lutein 20mg 60 Softgels,NOW Foods,Eye Health,2106.9,"Lutein from Marigold Tagetes erecta, Zeaxanthin, Olive Oil, Gelatin, Glycerin, Water",B26-085,2026-01-09,2028-01-09,730,130,16.99,no,India
SKU086,CoQ10 100mg 60 Softgels,Jarrow Formulas,Vitamins,2106.9,"Coenzyme Q10 Ubiquinone, Rice Bran Oil, Gelatin, Glycerin, Purified Water",B26-086,2025-12-20,2027-12-20,730,225,21.99,no,Japan
SKU087,Vitamin K2 MK-7 100mcg Softgels,NOW Foods,Vitamins,2936.29,"Menaquinone-7 from Natto, Extra Virgin Olive Oil, Gelatin, Glycerin, Water",B26-087,2025-11-30,2027-11-30,730,190,14.99,no,USA
SKU088,Phosphatidylserine 100mg 60 Softgels,NOW Foods,Cognitive,2106.9,"Phosphatidylserine from Soy Lecithin, Soybean Oil, Gelatin, Glycerin",B26-088,2026-04-19,2028-04-18,730,140,21.99,no,USA
SKU089,Saw Palmetto 320mg 60 Softgels,NOW Foods,Herbal,1302.19,"Saw Palmetto Berry Extract, Olive Oil, Gelatin, Glycerin, Water",B26-089,2026-03-30,2028-03-29,730,155,16.99,no,USA
SKU090,Evening Primrose Oil 500mg 100 Softgels,NOW Foods,Womens Health,1515.9,"Evening Primrose Oil Oenothera biennis, Gelatin, Glycerin, Water",B26-090,2026-03-10,2028-03-09,730,145,11.99,no,USA
SKU091,Cod Liver Oil 1000mg 90 Softgels,NOW Foods,Omega,1504.2,"Cod Liver Oil Gadus morhua, Vitamin A, Vitamin D3, Gelatin, Glycerin, Water",B26-091,2026-02-18,2028-02-18,730,160,12.99,no,Norway
SKU092,Bone Broth Protein Powder 400g,Ancient Nutrition,Protein,3504.0,"Hydrolyzed Bovine Bone Broth Protein Concentrate, Natural Flavors",B26-092,2026-01-29,2028-01-29,730,65,44.99,no,USA
SKU093,Fish Collagen Peptides 5000mg Powder,Vital Proteins,Beauty,3504.0,"Hydrolyzed Fish Collagen Peptides Type I, Vitamin C, Natural Flavor",B26-093,2026-01-09,2028-01-09,730,80,32.99,no,USA
SKU094,Omega-3 Fish Oil UAE Breach Imminent,Garden of Life,Omega,1504.2,"Fish Oil from Wild Sardines Mackerel Anchovies, Gelatin, Glycerin, Water, Rosemary Extract",B26-094,2025-12-10,2027-12-10,730,120,14.99,no,USA
SKU095,Collagen Peptides UAE-Failed KSA-Clear,Sports Research,Beauty,3504.0,"Bovine Collagen Peptides Type I and III, Sunflower Lecithin",B26-095,2025-06-23,2027-06-23,730,160,29.99,no,USA
SKU096,Whey Protein All-Failed,Dymatize,Protein,2106.1,"Whey Protein Isolate, Soy Lecithin, Natural Flavors, Sucralose",B26-096,2024-12-05,2026-12-05,730,55,32.99,no,USA
SKU097,Hyaluronic Acid 120mg Gelatin Capsule,Solgar,Beauty,2106.9,"Sodium Hyaluronate, Gelatin, Water",B26-097,2025-12-20,2027-12-20,730,165,18.99,no,USA
SKU098,Vitamin D3+K2 60 Softgels,Life Extension,Vitamins,2936.29,"Vitamin D3 Cholecalciferol, Vitamin K2 MK-7 from Natto, Olive Oil, Gelatin, Glycerin",B26-098,2026-02-18,2028-02-18,730,170,15.99,no,USA
SKU099,Astaxanthin 12mg 60 Softgels,Sports Research,Antioxidants,2106.9,"Astaxanthin from Haematococcus pluvialis, Coconut Oil, Gelatin, Glycerin, Water",B26-099,2026-03-10,2028-03-09,730,95,29.99,no,USA
SKU100,Glucosamine Chondroitin MSM 90 Tablets,NOW Foods,Joint Health,2106.9,"Glucosamine Sulfate from Shellfish, Chondroitin Sulfate from Bovine, MSM Methylsulfonylmethane, Cellulose",B26-100,2026-04-19,2028-04-18,730,175,21.99,no,USA
SKU-00101,"21st Century, Herbal Slimming Tea, Honey Lemon, Caffeine Free, 24 Tea Bags",21st Century,Vitamins,2106.9,"Senna Leaf, Malva Leaf, Cassia Angustifolia Pod, Ginger Root, Gardenia Jasminoides Fruit, Licorice Root, Chrysanthemum Flower, Natural Honey Lemon Flavor, Stevia Leaf Extract",BATCH-202605-101,2026-05-21,2028-05-20,730,100,15.0,no,USA
SKU-00102,"California Gold Nutrition, Rexdrive® Amino with L-Arginine HCl, L-Citrulline, Acetyl-L-Carnitine Arginate DiHydrochloride, and Glycine Propionyl-L-Carnitine HCl, Men's Formula, 60 Veggie Capsules",California Gold Nutrition,Vitamins,2106.9,"Niacin (as Nicotinic Acid), L-Arginine HCl, L-Citrulline, Acetyl-L-Carnitine Arginate DiHydrochloride, Glycine Propionyl-L-Carnitine HCl, Modified Cellulose (Hypromellose Veggie Capsule), Magnesium Stearate, Calcium Silicate, and Silicon Dioxide (Silica).",BATCH-202605-102,2026-05-21,2028-05-20,730,100,15.0,no,USA
SKU-00103,"California Gold Nutrition, Rexdrive® Amino with L-Arginine HCl, L-Citrulline, Acetyl-L-Carnitine Arginate DiHydrochloride, and Glycine Propionyl-L-Carnitine HCl, Men's Formula, 60 Veggie Capsules",California Gold Nutrition,Vitamins,2106.90,"Niacin (as Nicotinic Acid), L-Arginine HCl, L-Citrulline, Acetyl-L-Carnitine Arginate DiHydrochloride, Glycine Propionyl-L-Carnitine HCl, Modified Cellulose (Hypromellose Veggie Capsule), Magnesium Stearate, Calcium Silicate, and Silicon Dioxide (Silica).",BATCH-202605-103,2026-05-21,2028-05-20,730,100,15.0,no,USA
